,brand_name,Ton,Electricity_Stars,ratings,no_of_ratings,discount_price,actual_price,more_inf0,image,link
111,Blue,Star,Ton,4.3,387,31500.0,37000.0,"['Star', 'Fixed', 'Speed', 'Window', 'AC', '(Copper,', 'Turbo', 'Cool,', 'Humidity', 'Control,', 'Fan', 'Modes-Auto/High/Medium/Low,', 'Hydrop...']",https://m.media-amazon.com/images/I/71EyEZCnfyL._AC_UL320_.jpg,https://www.amazon.in/Blue-Star-Hydrophilic-Self-Diagnosis-WFA512LN/dp/B0BDMPC6VJ/ref=sr_1_118?qid=1679134243&s=kitchen&sr=1-118
112,Amazon,Basics,Ton,3.5,14,25490.0,33990.0,"['Star', 'Fixed', 'Speed', 'Window', 'AC', '(Copper,', 'Turbo', 'Cool,', 'Dust', 'Filter,', '2022', 'Model,', 'White)']",https://m.media-amazon.com/images/I/91BcgKPL5xL._AC_UL320_.jpg,https://www.amazon.in/AmazonBasics-1-5-Ton-Air-Conditioner/dp/B08J8V4QHD/ref=sr_1_119?qid=1679134243&s=kitchen&sr=1-119
113,Voltas,2,5,5.0,5,58890.0,84990.0,"['Inverter', 'Split', 'AC', '(Copper', 'Condenser,', '245V', 'EAZS,', 'White)']",https://m.media-amazon.com/images/I/31kzjzWD29L._AC_UL320_.jpg,https://www.amazon.in/Voltas-Inverter-Condenser-245V-EAZS/dp/B0B4WYNW1G/ref=sr_1_120?qid=1679134243&s=kitchen&sr=1-120
114,Panasonic,1.5,4,4.5,195,40756.01,40756.01,"['Wi-Fi', 'Twin-Cool', 'Inverter', 'Split', 'Air', 'Conditioner', '(Copper,', 'Shield', 'Blu', 'Anti-Corrosion', 'Technology,', 'nan...']",https://m.media-amazon.com/images/I/41Edvsb7GhL._AC_UL320_.jpg,https://www.amazon.in/Panasonic-Conditioner-Anti-Corrosion-Purification-CU-WU18YKYXF/dp/B09RP38FBT/ref=sr_1_121?qid=1679134243&s=kitchen&sr=1-121
115,Carrier,1.5,3,3.8,245,37990.0,70290.0,"['AI', 'Flexicool', 'Hybridjet', 'Inverter', 'Split', 'AC', '(Copper,', '4-in-1', 'Flexicool', 'with', 'Anti-Viral', 'Guard,', 'Smart', 'Ene...']",https://m.media-amazon.com/images/I/61+5fn85FmL._AC_UL320_.jpg,https://www.amazon.in/Carrier-Flexicool-Hybridjet-Inverter-Anti-Viral/dp/B0BV9SMQJ8/ref=sr_1_122?qid=1679134243&s=kitchen&sr=1-122
116,Daikin,1.8,3,3.8,245,52499.0,72900.0,"['Inverter', 'Split', 'AC', '(Copper,', 'Anti', 'Bacterial', 'Filter,', '2022', 'Model,', 'ATKL60UV16,', 'White)']",https://m.media-amazon.com/images/I/31m9JOiVesL._AC_UL320_.jpg,https://www.amazon.in/Daikin-Inverter-Copper-Bacterial-ATKL60UV16/dp/B0BK1GTTKC/ref=sr_1_123?qid=1679134243&s=kitchen&sr=1-123
117,Voltas,1,5,5.0,1,37290.0,44990.0,"['Inverter', 'Split', 'AC(Copper,', '4-in-1', 'Adjustable', 'Mode,', 'Anti-dust', 'Filter,', '2023', 'Model,', '125V', 'Vectra', 'Elite,', 'Wh...']",https://m.media-amazon.com/images/I/41e6oqY5-ZL._AC_UL320_.jpg,https://www.amazon.in/Voltas-Adjustable-Inverter-Copper-VECTRA/dp/B0BBFYBWX9/ref=sr_1_124_mod_primary_new?qid=1679134243&s=kitchen&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sr=1-124
118,LG,2,4,4.0,2,47490.0,75990.0,"['DUAL', 'Inverter', 'Wi-Fi', 'Window', 'AC', '(Copper,', 'Convertible', '4-in-1', 'cooling,', 'HD', 'Filter', 'with', 'Anti', 'Virus', 'Protection,', '2...']",https://m.media-amazon.com/images/I/61OuuS5wd9L._AC_UL320_.jpg,https://www.amazon.in/LG-Inverter-Convertible-Protection-RW-Q24WWYA/dp/B0BQJKCJVP/ref=sr_1_125?qid=1679134243&s=kitchen&sr=1-125
119,Haier,1.5,5,3.8,245,44990.0,71490.0,"['Frost', 'Self', 'Clean', 'Inverter', 'Split', 'AC(Intelli', 'Convertible', '7-in-1,', '2023', 'Model,', 'HSU18K-PYS5BE-INV,', 'White)']",https://m.media-amazon.com/images/I/51cMhk5hAiL._AC_UL320_.jpg,https://www.amazon.in/Haier-Inverter-Intelli-Convertible-HSU18K-PYS5BE-INV/dp/B0BSFS7Z5R/ref=sr_1_126?qid=1679134243&s=kitchen&sr=1-126
120,Haier,1.0,3,3.8,245,30990.0,57490.0,"['Frost', 'Self', 'Clean', 'Inverter', 'Split', 'AC(100%', 'Grooved', 'copper,', 'Super', 'Anti-corrosion,', '2023', 'Model,', 'HSU11V-TMS3...']",https://m.media-amazon.com/images/I/51WirkzK4JL._AC_UL320_.jpg,https://www.amazon.in/Haier-Inverter-Grooved-Anti-corrosion-HSU11V-TMS3BE-INV/dp/B0BSFQZGXG/ref=sr_1_124?qid=1679134244&s=kitchen&sr=1-124
